id;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo;analysis_url;time_signature
00Mb3DuaIH1kjrwOku9CGU;0.487;0.9;0;-4.417;1;0.0482;6.79e-05;0.0;0.358;0.484;149.937;https://api.spotify.com/v1/audio-analysis/00Mb3DuaIH1kjrwOku9CGU;4
5joO3RcUHeTMjasJrjVa9a;0.509;0.403;7;-11.525;1;0.244;0.824;0.00632;0.112;0.529;186.374;https://api.spotify.com/v1/audio-analysis/5joO3RcUHeTMjasJrjVa9a;3
6ilP6a90n3JOOD1mxFtVBu;0.594;0.267;0;-11.41;1;0.0468;0.195;0.878;0.396;0.411;138.47;https://api.spotify.com/v1/audio-analysis/6ilP6a90n3JOOD1mxFtVBu;3
4FLsABaj5iQbOfp7akXEn5;0.554;0.5;4;-7.814;0;0.0441;0.617;0.0167;0.213;0.574;149.575;https://api.spotify.com/v1/audio-analysis/4FLsABaj5iQbOfp7akXEn5;4
75pQqzwgCjUOSSy5CpmAjy;0.882;0.612;4;-6.103;1;0.118;0.0475;5.07e-06;0.182;0.742;147.982;https://api.spotify.com/v1/audio-analysis/75pQqzwgCjUOSSy5CpmAjy;4
2cpteAYHcd4cjSxAeCkA52;0.845;0.733;11;-6.037;1;0.0581;0.0147;1.57e-05;0.357;0.394;97.01;https://api.spotify.com/v1/audio-analysis/2cpteAYHcd4cjSxAeCkA52;4
6Sq7ltF9Qa7SNFBsV5Cogx;0.911;0.712;1;-5.105;0;0.0817;0.0901;2.68e-05;0.0933;0.425;92.005;https://api.spotify.com/v1/audio-analysis/6Sq7ltF9Qa7SNFBsV5Cogx;4
5vHd35zG29xUWo92G1ct50;0.69;0.959;4;-2.619;1;0.0349;0.0013;0.799;0.382;0.8;149.993;https://api.spotify.com/v1/audio-analysis/5vHd35zG29xUWo92G1ct50;4
07IbFgRDGTuywB9RHCn8Ta;0.699;0.955;6;-2.183;0;0.0609;0.00464;0.00055;0.101;0.184;110.018;https://api.spotify.com/v1/audio-analysis/07IbFgRDGTuywB9RHCn8Ta;4
0DGXJPr1hYaDk1Q7jfUSCr;0.83;0.679;2;-9.939;1;0.0924;0.309;0.895;0.0983;0.872;126.998;https://api.spotify.com/v1/audio-analysis/0DGXJPr1hYaDk1Q7jfUSCr;4
1b3rBfZFmEdqQvj2aVY7pv;0.561;0.963;6;-5.514;0;0.127;0.00127;0.0824;0.318;0.284;120.007;https://api.spotify.com/v1/audio-analysis/1b3rBfZFmEdqQvj2aVY7pv;4
0ORzR5SgTU65R2obmD11s5;0.715;0.986;0;-2.378;1;0.351;0.00839;8.58e-05;0.42;0.453;122.021;https://api.spotify.com/v1/audio-analysis/0ORzR5SgTU65R2obmD11s5;4
1xaMPjSb6wUhuLkTeYe7oN;0.588;0.942;7;-1.741;1;0.0308;0.000157;0.88;0.21;0.512;125.994;https://api.spotify.com/v1/audio-analysis/1xaMPjSb6wUhuLkTeYe7oN;4
7nLbEx8juSAeanLzMjYhpT;0.875;0.675;7;-2.423;1;0.407;0.167;0.75;0.131;0.779;123.981;https://api.spotify.com/v1/audio-analysis/7nLbEx8juSAeanLzMjYhpT;3
5PZnUGhN8xnU1rXqlJINT1;0.646;0.645;10;-10.968;0;0.0813;0.306;0.532;0.104;0.21;129.981;https://api.spotify.com/v1/audio-analysis/5PZnUGhN8xnU1rXqlJINT1;1
0D3SaRvnoMohXOEJ75GieD;0.714;0.891;10;-2.819;0;0.199;2.5e-05;0.104;0.4;0.664;183.995;https://api.spotify.com/v1/audio-analysis/0D3SaRvnoMohXOEJ75GieD;4
21joBYmdagv4lNNTiNyHei;0.767;0.969;8;-0.617;1;0.149;0.238;0.173;0.377;0.377;126.0;https://api.spotify.com/v1/audio-analysis/21joBYmdagv4lNNTiNyHei;4
4QQyXwqvTF9oByQlSmWhCc;0.646;0.708;3;-5.875;0;0.065;0.0145;0.781;0.35;0.382;128.011;https://api.spotify.com/v1/audio-analysis/4QQyXwqvTF9oByQlSmWhCc;4
2c5CLmXwJ4V0IIqJ6B68gq;0.774;0.558;10;-8.915;0;0.0811;0.282;0.383;0.151;0.213;122.041;https://api.spotify.com/v1/audio-analysis/2c5CLmXwJ4V0IIqJ6B68gq;4
0prbvDtiY8FrZKEj8LF4Rs;0.736;0.681;5;-6.063;1;0.0745;0.106;0.0;0.12;0.481;100.924;https://api.spotify.com/v1/audio-analysis/0prbvDtiY8FrZKEj8LF4Rs;4
7aZsMvEdZBsZHUG3OGbPpD;0.119;0.96;9;-2.15;1;0.168;0.0284;0.00234;0.124;0.132;200.91;https://api.spotify.com/v1/audio-analysis/7aZsMvEdZBsZHUG3OGbPpD;4
0XHnYbXteyBDfVvk9EGaPu;0.274;0.922;1;-3.663;0;0.0593;0.000115;0.0;0.123;0.366;105.132;https://api.spotify.com/v1/audio-analysis/0XHnYbXteyBDfVvk9EGaPu;4
3aniWcwiiYKHpm3F5TdeKD;0.497;0.916;7;-3.323;1;0.108;0.000323;0.0;0.36;0.401;96.051;https://api.spotify.com/v1/audio-analysis/3aniWcwiiYKHpm3F5TdeKD;4
00daiXpq7Jb76fXCJZA6rN;0.913;0.752;7;-7.364;1;0.168;0.0842;0.00323;0.188;0.389;137.987;https://api.spotify.com/v1/audio-analysis/00daiXpq7Jb76fXCJZA6rN;4
3WXOo12a4vYfRSNx1RzH0T;0.551;0.942;11;-4.774;1;0.0969;0.00899;0.0254;0.0773;0.238;83.063;https://api.spotify.com/v1/audio-analysis/3WXOo12a4vYfRSNx1RzH0T;4
6o2FQGObDH7kCpYlvJH2ai;0.77;0.88;8;-3.734;1;0.0883;0.323;0.293;0.111;0.42;104.981;https://api.spotify.com/v1/audio-analysis/6o2FQGObDH7kCpYlvJH2ai;4
