played_at;id;name;artists;album;duration_ms;explicit;href;is_local;popularity;uri
2022-08-02T14:44:41.671Z;00Mb3DuaIH1kjrwOku9CGU;Sk8er Boi;Avril Lavigne;Let Go;204000;False;https://api.spotify.com/v1/tracks/00Mb3DuaIH1kjrwOku9CGU;False;77;spotify:track:00Mb3DuaIH1kjrwOku9CGU
2022-08-02T14:39:14.469Z;5joO3RcUHeTMjasJrjVa9a;Five Long Years;Ike & Tina Turner;Outta' Season;202627;False;https://api.spotify.com/v1/tracks/5joO3RcUHeTMjasJrjVa9a;False;37;spotify:track:5joO3RcUHeTMjasJrjVa9a
2022-08-02T14:35:51.480Z;6ilP6a90n3JOOD1mxFtVBu;Fast Talking Woman Blues - 2001 Remaster;Fleetwood Mac;Men of the World: The Early Years;203400;False;https://api.spotify.com/v1/tracks/6ilP6a90n3JOOD1mxFtVBu;False;36;spotify:track:6ilP6a90n3JOOD1mxFtVBu
2022-08-02T14:32:27.646Z;4FLsABaj5iQbOfp7akXEn5;Make It Rain;Gov't Mule;Heavy Load Blues;401040;False;https://api.spotify.com/v1/tracks/4FLsABaj5iQbOfp7akXEn5;False;49;spotify:track:4FLsABaj5iQbOfp7akXEn5
2022-08-02T06:55:33.878Z;75pQqzwgCjUOSSy5CpmAjy;Pero Ya No;Bad Bunny;YHLQMDLG;160638;False;https://api.spotify.com/v1/tracks/75pQqzwgCjUOSSy5CpmAjy;False;73;spotify:track:75pQqzwgCjUOSSy5CpmAjy
2022-08-02T06:52:52.292Z;2cpteAYHcd4cjSxAeCkA52;Yo Perreo Sola - Remix;Bad Bunny;Yo Perreo Sola (Remix);174027;True;https://api.spotify.com/v1/tracks/2cpteAYHcd4cjSxAeCkA52;False;62;spotify:track:2cpteAYHcd4cjSxAeCkA52
2022-08-02T06:49:58.112Z;6Sq7ltF9Qa7SNFBsV5Cogx;Me Porto Bonito;Bad Bunny;Un Verano Sin Ti;178567;True;https://api.spotify.com/v1/tracks/6Sq7ltF9Qa7SNFBsV5Cogx;False;100;spotify:track:6Sq7ltF9Qa7SNFBsV5Cogx
2022-08-02T06:46:19.156Z;5vHd35zG29xUWo92G1ct50;Daredevil;Ghostface Playa;Cruisin’ Down Da Block;108800;True;https://api.spotify.com/v1/tracks/5vHd35zG29xUWo92G1ct50;False;49;spotify:track:5vHd35zG29xUWo92G1ct50
2022-08-02T06:44:29.115Z;07IbFgRDGTuywB9RHCn8Ta;Killers From The Northside - Sped Up;Kordhell;Killers From The Northside (Sped Up);165818;True;https://api.spotify.com/v1/tracks/07IbFgRDGTuywB9RHCn8Ta;False;45;spotify:track:07IbFgRDGTuywB9RHCn8Ta
2022-08-02T06:41:42.842Z;0DGXJPr1hYaDk1Q7jfUSCr;DEVIL MEAN;HOSPICEMANE;DEVIL MEAN;128901;True;https://api.spotify.com/v1/tracks/0DGXJPr1hYaDk1Q7jfUSCr;False;53;spotify:track:0DGXJPr1hYaDk1Q7jfUSCr
